#Energy,TDOS-UP,TDOS-DOWN
-5.67973,393.4,-389.2
-5.65673,0.7703,-0.2594
-5.63273,0.9307,-0.2853
-5.60973,1.143,-0.3554
-5.58673,1.322,-0.4519
-5.56273,1.382,-0.5278
-5.53973,1.332,-0.5418
-5.51673,1.298,-0.5168
-5.49273,1.363,-0.5159
-5.46973,1.45,-0.5627
-5.44673,1.443,-0.63
-5.42273,1.354,-0.6918
-5.39973,1.283,-0.7608
-5.37673,1.243,-0.8671
-5.35273,1.185,-0.9956
-5.32973,1.112,-1.072
-5.30673,1.058,-1.054
-5.28273,1.002,-1.004
-5.25973,0.8894,-1.014
-5.23673,0.7196,-1.098
-5.21273,0.5783,-1.197
-5.18973,0.55,-1.24
-5.16673,0.6089,-1.179
-5.14273,0.6429,-1.041
-5.11973,0.5783,-0.9385
-5.09673,0.4607,-0.9572
-5.07273,0.3914,-1.044
-5.04973,0.402,-1.066
-5.02673,0.4421,-0.9672
-5.00273,0.4593,-0.82
-4.97973,0.4441,-0.7244
-4.95673,0.4194,-0.708
-4.93273,0.4135,-0.7198
-4.90973,0.4504,-0.6863
-4.88673,0.5432,-0.586
-4.86273,0.6565,-0.477
-4.83973,0.7077,-0.4266
-4.81673,0.6611,-0.4292
-4.79273,0.5861,-0.4326
-4.76973,0.5775,-0.4129
-4.74673,0.6453,-0.3893
-4.72273,0.7201,-0.386
-4.69973,0.7461,-0.4048
-4.67673,0.72,-0.4291
-4.65273,0.6732,-0.4429
-4.62973,0.661,-0.4446
-4.60673,0.7174,-0.438
-4.58273,0.8119,-0.4363
-4.55973,0.8857,-0.4639
-4.53673,0.9057,-0.5089
-4.51273,0.8637,-0.5168
-4.48973,0.7812,-0.4811
-4.46673,0.728,-0.4629
-4.44273,0.7684,-0.4937
-4.41973,0.8848,-0.5453
-4.39673,1.001,-0.5977
-4.37273,1.049,-0.6483
-4.34973,1.013,-0.6626
-4.32673,0.9348,-0.6116
-4.30273,0.8805,-0.5282
-4.27973,0.8841,-0.458
-4.25673,0.9256,-0.418
-4.23273,0.9844,-0.4276
-4.20973,1.075,-0.5084
-4.18673,1.194,-0.6245
-4.16273,1.306,-0.6891
-4.13973,1.418,-0.6716
-4.11673,1.595,-0.6309
-4.09273,1.838,-0.6258
-4.06973,2.031,-0.6516
-4.04673,2.059,-0.6689
-4.02273,1.946,-0.6504
-3.99973,1.833,-0.5989
-3.97673,1.851,-0.55
-3.95273,1.993,-0.5487
-3.92973,2.113,-0.6016
-3.90673,2.084,-0.6647
-3.88273,1.939,-0.6812
-3.85973,1.835,-0.6399
-3.83673,1.864,-0.5911
-3.81273,1.951,-0.5762
-3.78973,1.996,-0.5806
-3.76673,2.017,-0.5869
-3.74273,2.086,-0.6229
-3.71973,2.206,-0.7196
-3.69673,2.316,-0.8341
-3.67273,2.358,-0.8718
-3.64973,2.303,-0.8036
-3.62673,2.143,-0.6958
-3.60273,1.945,-0.6023
-3.57973,1.831,-0.5311
-3.55673,1.844,-0.5137
-3.53273,1.888,-0.5813
-3.50973,1.863,-0.6962
-3.48673,1.755,-0.7927
-3.46273,1.583,-0.8434
-3.43973,1.38,-0.855
-3.41673,1.22,-0.8516
-3.39273,1.193,-0.858
-3.36973,1.339,-0.8793
-3.34673,1.632,-0.9134
-3.32273,2.022,-0.9877
-3.29973,2.469,-1.157
-3.27673,2.935,-1.442
-3.25273,3.364,-1.773
-3.22973,3.677,-2.032
-3.20673,3.785,-2.161
-3.18273,3.637,-2.222
-3.15973,3.298,-2.304
-3.13673,2.906,-2.444
-3.11273,2.566,-2.647
-3.08973,2.327,-2.884
-3.06673,2.184,-3.104
-3.04273,2.075,-3.268
-3.01973,1.991,-3.358
-2.99673,2.119,-3.349
-2.97273,2.711,-3.196
-2.94973,3.785,-2.89
-2.92673,5.074,-2.523
-2.90273,6.221,-2.202
-2.87973,6.905,-1.927
-2.85673,6.974,-1.644
-2.83273,6.589,-1.396
-2.80973,6.015,-1.26
-2.78673,5.363,-1.191
-2.76273,4.738,-1.086
-2.73973,4.293,-0.9146
-2.71673,4.046,-0.7394
-2.69273,3.971,-0.6216
-2.66973,4.123,-0.5545
-2.64673,4.402,-0.4952
-2.62273,4.524,-0.4227
-2.59973,4.383,-0.3517
-2.57673,4.143,-0.3209
-2.55273,3.926,-0.3629
-2.52973,3.701,-0.4853
-2.50673,3.469,-0.6747
-2.48273,3.274,-0.909
-2.45973,3.141,-1.171
-2.43673,3.072,-1.469
-2.41273,3.027,-1.813
-2.38973,2.993,-2.182
-2.36673,3.025,-2.522
-2.34273,3.122,-2.782
-2.31973,3.221,-2.913
-2.29673,3.367,-2.941
-2.27273,3.643,-2.983
-2.24973,3.958,-3.098
-2.22673,4.153,-3.177
-2.20273,4.236,-3.056
-2.17973,4.243,-2.701
-2.15673,4.046,-2.26
-2.13273,3.566,-1.944
-2.10973,2.976,-1.843
-2.08673,2.491,-1.838
-2.06273,2.132,-1.756
-2.03973,1.847,-1.602
-2.01673,1.628,-1.515
-1.99273,1.462,-1.55
-1.96973,1.31,-1.639
-1.94673,1.16,-1.731
-1.92273,1.044,-1.839
-1.89973,0.9841,-1.959
-1.87673,1.024,-2.093
-1.85273,1.272,-2.317
-1.82973,1.815,-2.703
-1.80673,2.582,-3.268
-1.78273,3.33,-4.038
